customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
LIVE-RHIC7N,Female,0,No,Yes,41,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,One year,No,Credit card (automatic),47.8,8670.1,Yes
LIVE-ZD1R1R,Female,0,No,No,23,No,Yes,No,No,No,No internet service,Yes,No internet service,No,One year,No,Credit card (automatic),113.68,3444.85,No
LIVE-LMX6AT,Male,0,No,No,71,No,No phone service,No,Yes,No internet service,Yes,Yes,Yes,No,Two year,No,Mailed check,111.6,2555.9,No
LIVE-EU63GG,Female,1,No,No,19,Yes,No,No,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),39.28,3131.8,No
LIVE-RD9Z8V,Male,0,Yes,No,58,No,Yes,No,Yes,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),38.71,326.65,Yes
LIVE-2IWDZC,Female,1,Yes,Yes,53,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.06,2117.25,No
LIVE-0VABUW,Male,1,Yes,Yes,43,Yes,No,DSL,No internet service,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),58.68,323.15,No
LIVE-714YWI,Female,1,Yes,Yes,9,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),79.12,839.4,No
LIVE-FKOD5F,Female,1,No,No,36,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,No internet service,Two year,No,Mailed check,106.42,1108,No
LIVE-OEHV2L,Female,0,No,Yes,57,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),85.4,130.55,Yes
LIVE-GPQAE0,Female,1,No,No,48,Yes,No,DSL,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),102.93,2193.65,Yes
LIVE-YGVM3Q,Male,0,No,No,33,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,Yes,Electronic check,100.39,1672.1,Yes
LIVE-VL4XKP,Male,1,Yes,Yes,51,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),39.97,8684.8,No
LIVE-FXO4IO,Male,0,No,No,60,No,No,DSL,Yes,Yes,No internet service,Yes,Yes,No,One year,Yes,Mailed check,73.95,2018.1,Yes
LIVE-HB2FPQ,Male,1,Yes,No,0,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,65.49,5746.15,Yes
LIVE-AB4IOM,Female,1,Yes,No,57,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),98.44,6786.1,Yes
LIVE-WQY3C4,Male,1,Yes,No,42,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Two year,No,Electronic check,99.01,195.3,Yes
LIVE-KJQRAE,Female,1,No,No,36,No,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),78.02,4386.2,No
LIVE-ZSZ7SD,Male,1,Yes,No,19,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,49.29,2989.6,Yes
LIVE-ZKRK7O,Male,0,No,Yes,62,Yes,No,No,Yes,No,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),77.5,2076.2,Yes
LIVE-T2DY5X,Male,1,Yes,No,23,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No internet service,No,One year,No,Credit card (automatic),68.46,70.15,Yes
LIVE-SCPG8O,Male,1,Yes,Yes,54,Yes,Yes,DSL,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),92.83,2460.35,No
LIVE-HWORSH,Female,0,Yes,Yes,44,No,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,No,Electronic check,41.7,957.1,Yes
LIVE-5YYSTU,Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),91.12,434.8,Yes
LIVE-GHTASO,Female,0,No,Yes,69,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service,One year,Yes,Electronic check,68.67,4138.7,Yes
