customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
LIVE-49FFQU,Female,1,No,Yes,67,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,No,One year,No,Mailed check,46.5,2680.15,No
LIVE-3AZR0F,Female,1,No,No,13,No,No,No,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),46.72,93.45,No
LIVE-2HZWAF,Female,0,No,No,25,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,70.48,401.1,Yes
LIVE-UC9VEL,Male,0,Yes,Yes,64,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),68.74,2049.05,No
LIVE-1QWAOV,Female,1,No,No,34,Yes,No,DSL,Yes,No,No,No,No internet service,No internet service,Two year,No,Mailed check,24.36,2659.45,No
LIVE-0AZG4T,Female,0,Yes,No,16,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.72,1783.6,No
LIVE-5IP5IN,Female,0,No,Yes,48,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.99,4932.5,No
LIVE-5DNOX2,Male,1,Yes,No,51,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),109.64,4113.7,No
LIVE-BRZEED,Female,1,Yes,Yes,36,No,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,111.34,1790.65,Yes
LIVE-IS7UCE,Male,1,Yes,No,19,Yes,No,No,Yes,No internet service,No,Yes,No,No,One year,Yes,Electronic check,70.82,7987.6,Yes
LIVE-Z6QJR6,Female,1,No,Yes,35,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Mailed check,48.83,7854.9,Yes
LIVE-IG789N,Male,0,No,No,31,No,Yes,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),115.24,1013.2,Yes
LIVE-NFEZW5,Male,0,Yes,Yes,54,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,50.34,581.7,Yes
LIVE-VSVRR2,Female,0,Yes,No,54,No,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,33.35,1548.65,No
LIVE-NQ21RE,Female,0,Yes,No,29,No,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),92.95,482.8,No
LIVE-HXOIZC,Male,0,Yes,No,64,No,Yes,No,No internet service,Yes,No internet service,No,Yes,No,Two year,No,Credit card (automatic),74.87,1114.55,Yes
LIVE-93YGWB,Male,1,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,42.49,3769.7,Yes
LIVE-OBP6EP,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,76.34,151.65,Yes
LIVE-TA03KS,Male,1,Yes,No,9,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,23.42,340.4,Yes
LIVE-HRZBZ2,Female,1,Yes,No,12,No,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,24.57,5785.65,No
LIVE-2FDAF7,Male,1,Yes,Yes,22,No,No,No,No internet service,No internet service,No internet service,Yes,No,No internet service,One year,No,Mailed check,29.8,5637.85,No
LIVE-S5E684,Female,1,Yes,No,1,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,77.55,85.15,No
LIVE-XL3F40,Female,0,Yes,Yes,20,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),66.12,3734.25,No
LIVE-2CEW0Z,Female,0,No,No,13,No,No,DSL,No internet service,No,Yes,No,No,No,Month-to-month,No,Electronic check,85.01,82.85,No
LIVE-25NLNC,Male,1,Yes,No,60,Yes,No phone service,DSL,No internet service,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,41.49,967.9,Yes
